"","international.plan","voice.mail.plan","number.vmail.messages","number.customer.service.calls","total.charge","charge_category","minutes_category","Avg_Min_call","Churn"
"1","1","2",1.36548241236158,"1",1.58678482491167,"3","3","3","1"
"2","1","2",1.44280303123556,"1",-0.0259903951147663,"2","3","2","1"
"3","1","1",-0.567533059487881,"0",0.27541673852988,"3","2","2","1"
"4","2","1",-0.567533059487881,"2",0.721104008279832,"3","2","3","1"
"5","2","1",-0.567533059487881,"3",-0.732567773986645,"2","2","2","1"
"6","2","1",-0.567533059487881,"0",0.801149837214968,"3","3","3","1"
"7","1","2",1.2881617934876,"3",1.85854535524701,"3","3","3","1"
"8","2","1",-0.567533059487881,"0",-1.2454540112377,"2","2","2","1"
"9","1","1",-0.567533059487881,"1",1.36542352020216,"3","3","3","1"
"10","2","2",2.29332983884932,"0",2.07891843984621,"4","4","3","1"
"11","1","1",-0.567533059487881,"4",-0.524053330711167,"2","2","2","2"
"12","1","1",-0.567533059487881,"0",-0.239445938941796,"2","2","2","1"
"13","1","1",-0.567533059487881,"1",-1.90854970525592,"2","1","2","1"
"14","1","1",-0.567533059487881,"3",0.0135384092976455,"2","3","3","1"
"15","1","1",-0.567533059487881,"4",-0.0190728543425955,"2","3","3","1"
"16","1","1",-0.567533059487881,"4",1.92045691279398,"4","4","3","2"
"17","1","2",1.52012365010954,"1",0.545200828644596,"3","2","2","1"
"18","1","1",-0.567533059487881,"3",-0.0506958978725257,"2","2","2","1"
"19","1","2",1.98404736335341,"1",0.0985253387843335,"3","2","3","1"
"20","1","1",-0.567533059487881,"1",0.434520176289841,"3","2","3","1"
"21","1","1",-0.567533059487881,"0",-0.0497076777622148,"2","3","2","1"
"22","1","1",-0.567533059487881,"5",-2.32063749125532,"1","2","2","2"
"23","1","1",-0.567533059487881,"0",-1.1308204784417,"2","2","2","1"
"24","1","1",-0.567533059487881,"2",-1.82356277576923,"2","2","2","1"
"25","1","1",-0.567533059487881,"0",-1.12884403822108,"2","2","3","1"
"26","1","1",-0.567533059487881,"3",0.0639376349234715,"3","3","3","1"
"27","1","2",2.44797107659728,"0",0.36929764900936,"3","2","2","1"
"28","1","1",-0.567533059487881,"3",-1.47175641649876,"2","2","2","1"
"29","1","1",-0.567533059487881,"0",0.456261018716668,"3","3","3","1"
"30","1","1",-0.567533059487881,"1",-0.978634581453913,"2","2","2","1"
"31","1","1",-0.567533059487881,"2",-1.81466879477644,"2","2","2","1"
"32","1","1",-0.567533059487881,"1",0.981005897291445,"3","3","3","1"
"33","1","1",-0.567533059487881,"3",-0.416337338687343,"2","2","2","1"
"34","1","1",-0.567533059487881,"1",1.99393151035952,"3","3","3","2"
"35","1","2",1.36548241236158,"0",-0.100106903388041,"2","2","3","1"
"36","1","2",2.29332983884932,"3",0.71319824739735,"3","3","3","1"
"37","1","2",1.75208550673147,"0",-1.09524455447053,"2","2","2","1"
"38","1","1",-0.567533059487881,"1",-0.524053330711167,"2","2","3","1"
"39","2","2",1.98404736335341,"3",-0.145565028462316,"2","2","2","1"
"40","1","1",-0.567533059487881,"1",-0.105048003939593,"2","3","3","1"
"41","1","1",-0.567533059487881,"3",-1.27114773410577,"2","2","2","1"
"42","2","2",2.60261231434524,"0",-0.326409308649104,"2","2","2","2"
"43","1","1",-0.567533059487881,"2",0.239840814558707,"3","3","3","1"
"44","1","1",-0.567533059487881,"3",-2.01132459672819,"1","2","2","1"
"45","1","1",-0.567533059487881,"1",-0.122835965925178,"2","3","3","1"
"46","1","2",1.59744426898352,"2",-1.10710319579425,"2","2","2","1"
"47","1","1",-0.567533059487881,"3",-0.0141317537910428,"2","2","2","1"
"48","1","1",-0.567533059487881,"2",-0.333326849421276,"2","2","2","1"
"49","1","1",-0.567533059487881,"5",-0.392620056039895,"2","2","2","2"
"50","1","2",1.2881617934876,"1",-1.21086630737684,"2","2","2","1"
"51","1","1",-0.567533059487881,"3",0.871313465047,"3","3","3","1"
"52","1","1",-0.567533059487881,"1",0.888113206922277,"3","3","3","1"
"53","1","1",-0.567533059487881,"2",0.406850013201152,"3","3","3","1"
"54","1","1",-0.567533059487881,"2",0.321863083714464,"3","3","3","1"
"55","1","1",-0.567533059487881,"5",-0.332338629310966,"2","2","2","2"
"56","1","1",-0.567533059487881,"1",0.636117078793145,"3","3","3","1"
"57","1","1",-0.567533059487881,"1",-1.39665168811518,"2","2","2","1"
"58","1","2",1.75208550673147,"3",-0.953929078696156,"2","2","2","2"
"59","1","1",-0.567533059487881,"3",-0.40941979791517,"2","2","2","1"
"60","1","1",-0.567533059487881,"1",0.624258437469421,"3","3","2","1"
"61","1","1",-0.567533059487881,"1",-0.180152732323177,"2","2","3","1"
"62","1","2",2.06136798222739,"2",1.1776616992432,"3","3","2","1"
"63","1","2",1.98404736335341,"2",0.444402377392944,"3","2","3","1"
"64","1","2",1.59744426898352,"3",0.249723015661811,"3","3","4","1"
